Forest Size, Forest Depth, Patterns threshold, Edges Threshold, Learner, Train R2, Test R2, Test R2 (gain), MAE, MAE (gain), MSE, MSE (gain), Patterns Count, Patterns Ratio, Training Time, Pruning Time
25,15,2,0.9,LogisticRegression(max_iter=10000),0.793,0.379,-0.059,1.914,0.094,6.034,0.571,740,0.73,0:01:52.904446,0:00:21.804425
,,,,,,,,,,,,,,,
25,15,2,0.85,MultinomialNB(),-1.815,-1.322,-1.76,3.738,1.919,22.567,17.104,649,0.64,0:00:00.038591,0:00:15.502389
,,,,,,,,,,,,,,,
25,15,2,0.85,LinearSVC(max_iter=10000),0.735,0.295,-0.143,2.058,0.239,6.857,1.394,649,0.64,0:07:23.288388,0:00:15.502389
,,,,,,,,,,,,,,,
25,15,2,0.85,LogisticRegression(max_iter=10000),0.762,0.374,-0.064,1.934,0.115,6.082,0.62,649,0.64,0:01:23.405985,0:00:15.502389
,,,,,,,,,,,,,,,
25,15,2,0.8,MultinomialNB(),-2.019,-1.45,-1.888,3.841,2.021,23.811,18.348,545,0.537,0:00:00.034155,0:00:11.921330
,,,,,,,,,,,,,,,
25,15,2,0.8,LinearSVC(max_iter=10000),0.697,0.22,-0.218,2.192,0.372,7.585,2.122,545,0.537,0:06:44.345036,0:00:11.921330
,,,,,,,,,,,,,,,
25,15,2,0.8,LogisticRegression(max_iter=10000),0.737,0.341,-0.097,2.007,0.188,6.403,0.94,545,0.537,0:01:15.451713,0:00:11.921330
,,,,,,,,,,,,,,,
25,15,2,0.7,MultinomialNB(),-1.891,-1.235,-1.673,3.733,1.914,21.72,16.257,372,0.367,0:00:00.025858,0:00:05.794485
,,,,,,,,,,,,,,,
25,15,2,0.7,LinearSVC(max_iter=10000),0.603,0.202,-0.236,2.206,0.387,7.758,2.295,372,0.367,0:05:21.264389,0:00:05.794485
,,,,,,,,,,,,,,,
25,15,2,0.7,LogisticRegression(max_iter=10000),0.645,0.305,-0.133,2.058,0.238,6.753,1.29,372,0.367,0:00:41.627675,0:00:05.794485
,,,,,,,,,,,,,,,
25,15,2,0.6,MultinomialNB(),-1.797,-1.453,-1.891,3.867,2.048,23.84,18.377,174,0.172,0:00:00.013167,0:00:01.981314
,,,,,,,,,,,,,,,
25,15,2,0.6,LinearSVC(max_iter=10000),0.496,0.048,-0.39,2.42,0.601,9.255,3.792,174,0.172,0:02:01.035246,0:00:01.981314
,,,,,,,,,,,,,,,
25,15,2,0.6,LogisticRegression(max_iter=10000),0.526,0.171,-0.267,2.264,0.445,8.06,2.597,174,0.172,0:00:29.865754,0:00:01.981314
,,,,,,,,,,,,,,,
50,5,1,1,MultinomialNB(),0.344,0.195,0,2.278,0,7.828,0,290,1,0:00:00.020463,0:00:02.587581
,,,,,,,,,,,,,,,
50,5,1,1,LinearSVC(max_iter=10000),0.737,0.376,0,1.929,0,6.064,0,290,1,0:02:51.261534,0:00:02.587581
,,,,,,,,,,,,,,,
50,5,1,1,LogisticRegression(max_iter=10000),0.784,0.406,0,1.883,0,5.776,0,290,1,0:00:32.220730,0:00:02.587581
,,,,,,,,,,,,,,,
50,5,1,0.975,MultinomialNB(),0.281,0.179,-0.227,2.295,0.412,7.985,2.208,247,0.852,0:00:00.017481,0:00:01.857366
,,,,,,,,,,,,,,,
50,5,1,0.975,LinearSVC(max_iter=10000),0.729,0.406,0,1.887,0.004,5.776,0,247,0.852,0:02:27.179080,0:00:01.857366
,,,,,,,,,,,,,,,
50,5,1,0.975,LogisticRegression(max_iter=10000),0.777,0.418,0.012,1.849,-0.034,5.658,-0.119,247,0.852,0:00:27.400919,0:00:01.857366
,,,,,,,,,,,,,,,
50,5,1,0.95,MultinomialNB(),0.279,0.17,-0.235,2.307,0.424,8.065,2.289,220,0.759,0:00:00.017813,0:00:01.453430
,,,,,,,,,,,,,,,
50,5,1,0.95,LinearSVC(max_iter=10000),0.718,0.391,-0.015,1.906,0.023,5.922,0.146,220,0.759,0:02:01.158811,0:00:01.453430
,,,,,,,,,,,,,,,
50,5,1,0.95,LogisticRegression(max_iter=10000),0.766,0.406,0,1.872,-0.011,5.773,-0.003,220,0.759,0:00:24.433863,0:00:01.453430
,,,,,,,,,,,,,,,
50,5,1,0.925,MultinomialNB(),0.179,0.109,-0.297,2.374,0.49,8.662,2.885,201,0.693,0:00:00.014851,0:00:01.256876
,,,,,,,,,,,,,,,
50,5,1,0.925,LinearSVC(max_iter=10000),0.702,0.382,-0.024,1.914,0.03,6.01,0.234,201,0.693,0:02:01.388651,0:00:01.256876
,,,,,,,,,,,,,,,
50,5,1,0.925,LogisticRegression(max_iter=10000),0.745,0.417,0.012,1.851,-0.033,5.662,-0.115,201,0.693,0:00:21.933555,0:00:01.256876
,,,,,,,,,,,,,,,
50,5,1,0.9,MultinomialNB(),0.216,0.114,-0.292,2.37,0.486,8.615,2.839,185,0.638,0:00:00.014092,0:00:01.181376
,,,,,,,,,,,,,,,
50,5,1,0.9,LinearSVC(max_iter=10000),0.698,0.388,-0.018,1.908,0.024,5.95,0.174,185,0.638,0:01:42.885782,0:00:01.181376
,,,,,,,,,,,,,,,
50,5,1,0.9,LogisticRegression(max_iter=10000),0.743,0.428,0.023,1.835,-0.048,5.555,-0.221,185,0.638,0:00:37.149236,0:00:01.181376
,,,,,,,,,,,,,,,
50,5,1,0.85,MultinomialNB(),0.099,0.045,-0.361,2.455,0.572,9.282,3.506,155,0.534,0:00:00.012595,0:00:00.902234
,,,,,,,,,,,,,,,
50,5,1,0.85,LinearSVC(max_iter=10000),0.669,0.332,-0.074,2.003,0.12,6.495,0.719,155,0.534,0:01:18.309099,0:00:00.902234
,,,,,,,,,,,,,,,
50,5,1,0.85,LogisticRegression(max_iter=10000),0.724,0.396,-0.01,1.902,0.018,5.871,0.094,155,0.534,0:00:43.377780,0:00:00.902234
,,,,,,,,,,,,,,,
50,5,1,0.8,MultinomialNB(),0.078,0.033,-0.372,2.5,0.617,9.395,3.619,132,0.455,0:00:00.010303,0:00:00.751673
,,,,,,,,,,,,,,,
50,5,1,0.8,LinearSVC(max_iter=10000),0.647,0.304,-0.102,2.065,0.182,6.764,0.988,132,0.455,0:00:50.703728,0:00:00.751673
,,,,,,,,,,,,,,,
50,5,1,0.8,LogisticRegression(max_iter=10000),0.693,0.379,-0.027,1.938,0.055,6.036,0.26,132,0.455,0:00:21.924922,0:00:00.751673
,,,,,,,,,,,,,,,
50,5,1,0.7,MultinomialNB(),-0.323,-0.26,-0.666,2.805,0.922,12.251,6.474,85,0.293,0:00:00.008537,0:00:00.514452
,,,,,,,,,,,,,,,
50,5,1,0.7,LinearSVC(max_iter=10000),0.586,0.287,-0.118,2.104,0.22,6.926,1.15,85,0.293,0:00:29.129326,0:00:00.514452
,,,,,,,,,,,,,,,
50,5,1,0.7,LogisticRegression(max_iter=10000),0.622,0.356,-0.05,1.985,0.102,6.263,0.486,85,0.293,0:00:14.365060,0:00:00.514452
,,,,,,,,,,,,,,,
50,5,1,0.6,MultinomialNB(),-0.529,-0.409,-0.815,2.932,1.049,13.7,7.924,38,0.131,0:00:00.005229,0:00:00.399864
,,,,,,,,,,,,,,,
50,5,1,0.6,LinearSVC(max_iter=10000),0.473,-0.005,-0.41,2.507,0.624,9.764,3.987,38,0.131,0:00:08.678524,0:00:00.399864
,,,,,,,,,,,,,,,
50,5,1,0.6,LogisticRegression(max_iter=10000),0.518,0.18,-0.226,2.251,0.367,7.975,2.198,38,0.131,0:00:06.152969,0:00:00.399864
,,,,,,,,,,,,,,,
50,5,2,1,MultinomialNB(),0.544,0.349,0,2.038,0,6.324,0,123,1,0:00:00.011860,0:00:00.532366
,,,,,,,,,,,,,,,
50,5,2,1,LinearSVC(max_iter=10000),0.689,0.371,0,1.956,0,6.117,0,123,1,0:00:40.570757,0:00:00.532366
,,,,,,,,,,,,,,,
50,5,2,1,LogisticRegression(max_iter=10000),0.729,0.426,0,1.878,0,5.579,0,123,1,0:00:14.685584,0:00:00.532366
,,,,,,,,,,,,,,,
50,5,2,0.975,MultinomialNB(),0.543,0.351,-0.075,2.037,0.159,6.313,0.733,97,0.789,0:00:00.009155,0:00:00.383802
,,,,,,,,,,,,,,,
50,5,2,0.975,LinearSVC(max_iter=10000),0.682,0.377,-0.049,1.958,0.08,6.055,0.476,97,0.789,0:00:27.154606,0:00:00.383802
,,,,,,,,,,,,,,,
50,5,2,0.975,LogisticRegression(max_iter=10000),0.725,0.432,0.006,1.865,-0.013,5.521,-0.058,97,0.789,0:00:10.119195,0:00:00.383802
,,,,,,,,,,,,,,,
50,5,2,0.95,MultinomialNB(),0.535,0.35,-0.076,2.038,0.159,6.319,0.739,87,0.707,0:00:00.008569,0:00:00.340758
,,,,,,,,,,,,,,,
50,5,2,0.95,LinearSVC(max_iter=10000),0.678,0.373,-0.053,1.958,0.08,6.095,0.516,87,0.707,0:00:25.071933,0:00:00.340758
,,,,,,,,,,,,,,,
50,5,2,0.95,LogisticRegression(max_iter=10000),0.715,0.425,-0.001,1.871,-0.007,5.591,0.011,87,0.707,0:00:14.870489,0:00:00.340758
,,,,,,,,,,,,,,,
50,5,2,0.925,MultinomialNB(),0.521,0.322,-0.104,2.093,0.215,6.594,1.015,76,0.618,0:00:00.008042,0:00:00.294850
,,,,,,,,,,,,,,,
50,5,2,0.925,LinearSVC(max_iter=10000),0.665,0.357,-0.069,1.981,0.102,6.253,0.673,76,0.618,0:00:19.183913,0:00:00.294850
,,,,,,,,,,,,,,,
50,5,2,0.925,LogisticRegression(max_iter=10000),0.705,0.434,0.008,1.847,-0.031,5.498,-0.081,76,0.618,0:00:12.671578,0:00:00.294850
,,,,,,,,,,,,,,,
50,5,2,0.9,MultinomialNB(),0.522,0.325,-0.101,2.084,0.206,6.557,0.978,71,0.577,0:00:00.007882,0:00:00.266100
,,,,,,,,,,,,,,,
50,5,2,0.9,LinearSVC(max_iter=10000),0.654,0.354,-0.072,1.982,0.104,6.282,0.703,71,0.577,0:00:17.520562,0:00:00.266100
,,,,,,,,,,,,,,,
50,5,2,0.9,LogisticRegression(max_iter=10000),0.69,0.43,0.004,1.868,-0.01,5.543,-0.037,71,0.577,0:00:12.454847,0:00:00.266100
,,,,,,,,,,,,,,,
50,5,2,0.85,MultinomialNB(),0.463,0.265,-0.161,2.191,0.313,7.145,1.565,59,0.48,0:00:00.006466,0:00:00.236872
,,,,,,,,,,,,,,,
50,5,2,0.85,LinearSVC(max_iter=10000),0.635,0.323,-0.103,2.042,0.164,6.581,1.001,59,0.48,0:00:15.205065,0:00:00.236872
,,,,,,,,,,,,,,,
50,5,2,0.85,LogisticRegression(max_iter=10000),0.665,0.405,-0.021,1.911,0.033,5.782,0.203,59,0.48,0:00:10.128672,0:00:00.236872
,,,,,,,,,,,,,,,
50,5,2,0.8,MultinomialNB(),0.419,0.247,-0.179,2.22,0.342,7.32,1.741,53,0.431,0:00:00.006221,0:00:00.209094
,,,,,,,,,,,,,,,
50,5,2,0.8,LinearSVC(max_iter=10000),0.617,0.305,-0.121,2.072,0.194,6.753,1.173,53,0.431,0:00:13.085666,0:00:00.209094
,,,,,,,,,,,,,,,
50,5,2,0.8,LogisticRegression(max_iter=10000),0.644,0.383,-0.043,1.951,0.073,5.997,0.417,53,0.431,0:00:13.419703,0:00:00.209094
,,,,,,,,,,,,,,,
50,5,2,0.7,MultinomialNB(),0.392,0.225,-0.201,2.259,0.381,7.532,1.952,29,0.236,0:00:00.004612,0:00:00.188227
,,,,,,,,,,,,,,,
50,5,2,0.7,LinearSVC(max_iter=10000),0.579,0.258,-0.168,2.155,0.277,7.21,1.631,29,0.236,0:00:05.010590,0:00:00.188227
,,,,,,,,,,,,,,,
50,5,2,0.7,LogisticRegression(max_iter=10000),0.604,0.352,-0.074,2.001,0.123,6.3,0.721,29,0.236,0:00:04.677812,0:00:00.188227
,,,,,,,,,,,,,,,
50,5,2,0.6,MultinomialNB(),0.358,0.182,-0.244,2.313,0.435,7.952,2.373,13,0.106,0:00:00.003693,0:00:00.193126
,,,,,,,,,,,,,,,
50,5,2,0.6,LinearSVC(max_iter=10000),0.436,-0.124,-0.55,2.675,0.797,10.922,5.342,13,0.106,0:00:01.677577,0:00:00.193126
,,,,,,,,,,,,,,,
50,5,2,0.6,LogisticRegression(max_iter=10000),0.491,0.213,-0.213,2.24,0.362,7.648,2.068,13,0.106,0:00:02.980020,0:00:00.193126
,,,,,,,,,,,,,,,
50,10,1,1,MultinomialNB(),-1.093,-0.986,0,3.526,0,19.302,0,1381,1,0:00:00.082303,0:01:14.245056
,,,,,,,,,,,,,,,
50,10,1,1,LinearSVC(max_iter=10000),0.844,0.307,0,2.021,0,6.731,0,1381,1,0:15:32.722160,0:01:14.245056
,,,,,,,,,,,,,,,
50,10,1,1,LogisticRegression(max_iter=10000),0.866,0.437,0,1.823,0,5.468,0,1381,1,0:05:05.103523,0:01:14.245056
,,,,,,,,,,,,,,,
50,10,1,0.975,MultinomialNB(),-1.255,-1.095,-1.533,3.612,1.79,20.366,14.899,1203,0.871,0:00:00.073414,0:00:57.027187
,,,,,,,,,,,,,,,
50,10,1,0.975,LinearSVC(max_iter=10000),0.818,0.315,-0.123,1.99,0.167,6.661,1.194,1203,0.871,0:13:45.435009,0:00:57.027187
,,,,,,,,,,,,,,,
50,10,1,0.975,LogisticRegression(max_iter=10000),0.851,0.43,-0.008,1.834,0.011,5.545,0.077,1203,0.871,0:03:51.483848,0:00:57.027187
,,,,,,,,,,,,,,,
50,10,1,0.95,MultinomialNB(),-1.427,-1.221,-1.659,3.704,1.881,21.59,16.123,1107,0.802,0:00:00.068356,0:00:48.745817
,,,,,,,,,,,,,,,
50,10,1,0.95,LinearSVC(max_iter=10000),0.8,0.311,-0.127,1.977,0.154,6.697,1.23,1107,0.802,0:13:02.768583,0:00:48.745817
,,,,,,,,,,,,,,,
50,10,1,0.95,LogisticRegression(max_iter=10000),0.831,0.434,-0.003,1.831,0.009,5.5,0.033,1107,0.802,0:03:14.589989,0:00:48.745817
,,,,,,,,,,,,,,,
50,10,1,0.925,MultinomialNB(),-1.605,-1.341,-1.779,3.806,1.983,22.758,17.291,1037,0.751,0:00:00.063847,0:00:42.868573
,,,,,,,,,,,,,,,
50,10,1,0.925,LinearSVC(max_iter=10000),0.787,0.257,-0.181,2.064,0.241,7.222,1.755,1037,0.751,0:12:50.038911,0:00:42.868573
,,,,,,,,,,,,,,,
50,10,1,0.925,LogisticRegression(max_iter=10000),0.811,0.391,-0.047,1.899,0.076,5.923,0.455,1037,0.751,0:03:04.195770,0:00:42.868573
,,,,,,,,,,,,,,,
50,10,1,0.9,MultinomialNB(),-1.805,-1.443,-1.881,3.879,2.057,23.749,18.282,973,0.705,0:00:00.060592,0:00:37.836206
,,,,,,,,,,,,,,,
50,10,1,0.9,LinearSVC(max_iter=10000),0.771,0.296,-0.142,2.029,0.207,6.844,1.376,973,0.705,0:12:31.475244,0:00:37.836206
,,,,,,,,,,,,,,,
50,10,1,0.9,LogisticRegression(max_iter=10000),0.8,0.382,-0.056,1.905,0.082,6.009,0.542,973,0.705,0:02:46.081075,0:00:37.836206
,,,,,,,,,,,,,,,
50,10,1,0.85,MultinomialNB(),-2.213,-1.678,-2.115,4.039,2.216,26.025,20.558,841,0.609,0:00:00.052162,0:00:28.313763
,,,,,,,,,,,,,,,
50,10,1,0.85,LinearSVC(max_iter=10000),0.746,0.256,-0.182,2.092,0.269,7.234,1.767,841,0.609,0:09:40.374158,0:00:28.313763
,,,,,,,,,,,,,,,
50,10,1,0.85,LogisticRegression(max_iter=10000),0.772,0.379,-0.058,1.921,0.098,6.032,0.565,841,0.609,0:02:18.932724,0:00:28.313763
,,,,,,,,,,,,,,,
50,10,1,0.8,MultinomialNB(),-2.561,-1.939,-2.377,4.19,2.368,28.569,23.102,712,0.516,0:00:00.044866,0:00:21.023300
,,,,,,,,,,,,,,,
50,10,1,0.8,LinearSVC(max_iter=10000),0.703,0.228,-0.209,2.163,0.341,7.499,2.031,712,0.516,0:10:46.661711,0:00:21.023300
,,,,,,,,,,,,,,,
50,10,1,0.8,LogisticRegression(max_iter=10000),0.748,0.346,-0.092,1.997,0.175,6.36,0.893,712,0.516,0:01:42.275793,0:00:21.023300
,,,,,,,,,,,,,,,
50,10,1,0.7,MultinomialNB(),-2.325,-1.545,-1.982,3.94,2.117,24.734,19.267,472,0.342,0:00:00.030960,0:00:09.832403
,,,,,,,,,,,,,,,
50,10,1,0.7,LinearSVC(max_iter=10000),0.603,0.206,-0.232,2.191,0.368,7.722,2.255,472,0.342,0:07:04.616434,0:00:09.832403
,,,,,,,,,,,,,,,
50,10,1,0.7,LogisticRegression(max_iter=10000),0.648,0.303,-0.134,2.051,0.228,6.77,1.303,472,0.342,0:00:57.125927,0:00:09.832403
,,,,,,,,,,,,,,,
50,10,1,0.6,MultinomialNB(),-1.969,-1.535,-1.972,3.958,2.136,24.635,19.167,233,0.169,0:00:00.018561,0:00:03.167990
,,,,,,,,,,,,,,,
50,10,1,0.6,LinearSVC(max_iter=10000),0.5,0.048,-0.39,2.418,0.595,9.257,3.789,233,0.169,0:04:18.638791,0:00:03.167990
,,,,,,,,,,,,,,,
50,10,1,0.6,LogisticRegression(max_iter=10000),0.525,0.187,-0.251,2.227,0.405,7.903,2.435,233,0.169,0:00:45.794201,0:00:03.167990
,,,,,,,,,,,,,,,
50,10,2,1,MultinomialNB(),-0.29,-0.333,0,2.883,0,12.961,0,842,1,0:00:00.052657,0:00:28.157623
,,,,,,,,,,,,,,,
50,10,2,1,LinearSVC(max_iter=10000),0.816,0.36,0,1.946,0,6.222,0,842,1,0:09:38.227632,0:00:28.157623
,,,,,,,,,,,,,,,
50,10,2,1,LogisticRegression(max_iter=10000),0.845,0.444,0,1.809,0,5.409,0,842,1,0:02:28.291701,0:00:28.157623
,,,,,,,,,,,,,,,
50,10,2,0.975,MultinomialNB(),-0.407,-0.423,-0.867,2.974,1.165,13.835,8.427,730,0.867,0:00:00.045791,0:00:20.727292
,,,,,,,,,,,,,,,
50,10,2,0.975,LinearSVC(max_iter=10000),0.79,0.348,-0.096,1.927,0.118,6.337,0.928,730,0.867,0:08:44.991801,0:00:20.727292
,,,,,,,,,,,,,,,
50,10,2,0.975,LogisticRegression(max_iter=10000),0.832,0.431,-0.013,1.834,0.025,5.534,0.125,730,0.867,0:01:53.611998,0:00:20.727292
,,,,,,,,,,,,,,,
50,10,2,0.95,MultinomialNB(),-0.532,-0.519,-0.963,3.062,1.253,14.769,9.36,664,0.789,0:00:00.040949,0:00:16.394658
,,,,,,,,,,,,,,,
50,10,2,0.95,LinearSVC(max_iter=10000),0.777,0.369,-0.075,1.901,0.092,6.134,0.725,664,0.789,0:08:23.473051,0:00:16.394658
,,,,,,,,,,,,,,,
50,10,2,0.95,LogisticRegression(max_iter=10000),0.815,0.45,0.006,1.804,-0.005,5.35,-0.059,664,0.789,0:01:34.968125,0:00:16.394658
,,,,,,,,,,,,,,,
50,10,2,0.925,MultinomialNB(),-0.689,-0.592,-1.036,3.14,1.331,15.474,10.065,616,0.732,0:00:00.038133,0:00:14.994248
,,,,,,,,,,,,,,,
50,10,2,0.925,LinearSVC(max_iter=10000),0.76,0.307,-0.136,2.012,0.203,6.734,1.326,616,0.732,0:08:09.363675,0:00:14.994248
,,,,,,,,,,,,,,,
50,10,2,0.925,LogisticRegression(max_iter=10000),0.797,0.399,-0.044,1.891,0.082,5.84,0.431,616,0.732,0:01:26.290344,0:00:14.994248
,,,,,,,,,,,,,,,
50,10,2,0.9,MultinomialNB(),-0.822,-0.656,-1.1,3.192,1.383,16.1,10.692,572,0.679,0:00:00.035886,0:00:12.470799
,,,,,,,,,,,,,,,
50,10,2,0.9,LinearSVC(max_iter=10000),0.758,0.328,-0.115,2.001,0.192,6.528,1.12,572,0.679,0:07:53.318445,0:00:12.470799
,,,,,,,,,,,,,,,
50,10,2,0.9,LogisticRegression(max_iter=10000),0.79,0.405,-0.039,1.889,0.08,5.783,0.374,572,0.679,0:01:20.547283,0:00:12.470799
,,,,,,,,,,,,,,,
50,10,2,0.85,MultinomialNB(),-1.018,-0.73,-1.173,3.275,1.466,16.814,11.405,483,0.574,0:00:00.030948,0:00:08.421923
,,,,,,,,,,,,,,,
50,10,2,0.85,LinearSVC(max_iter=10000),0.725,0.279,-0.164,2.049,0.24,7.005,1.597,483,0.574,0:07:19.645915,0:00:08.421923
,,,,,,,,,,,,,,,
50,10,2,0.85,LogisticRegression(max_iter=10000),0.757,0.386,-0.057,1.928,0.119,5.965,0.556,483,0.574,0:01:05.164918,0:00:08.421923
,,,,,,,,,,,,,,,
50,10,2,0.8,MultinomialNB(),-1.12,-0.752,-1.195,3.306,1.497,17.026,11.618,406,0.482,0:00:00.027989,0:00:06.227452
,,,,,,,,,,,,,,,
50,10,2,0.8,LinearSVC(max_iter=10000),0.682,0.222,-0.221,2.171,0.362,7.561,2.152,406,0.482,0:06:22.316890,0:00:06.227452
,,,,,,,,,,,,,,,
50,10,2,0.8,LogisticRegression(max_iter=10000),0.731,0.338,-0.106,2.029,0.22,6.436,1.027,406,0.482,0:00:48.780397,0:00:06.227452
,,,,,,,,,,,,,,,
50,10,2,0.7,MultinomialNB(),-1.228,-0.933,-1.376,3.433,1.624,18.784,13.376,274,0.325,0:00:00.019732,0:00:03.188216
,,,,,,,,,,,,,,,
50,10,2,0.7,LinearSVC(max_iter=10000),0.592,0.22,-0.223,2.165,0.356,7.581,2.172,274,0.325,0:03:57.610532,0:00:03.188216
,,,,,,,,,,,,,,,
50,10,2,0.7,LogisticRegression(max_iter=10000),0.641,0.309,-0.135,2.05,0.241,6.717,1.309,274,0.325,0:00:30.159049,0:00:03.188216
,,,,,,,,,,,,,,,
50,10,2,0.6,MultinomialNB(),-1.595,-1.314,-1.758,3.71,1.901,22.492,17.084,141,0.167,0:00:00.011069,0:00:01.566760
,,,,,,,,,,,,,,,
50,10,2,0.6,LinearSVC(max_iter=10000),0.492,0.034,-0.41,2.439,0.63,9.39,3.981,141,0.167,0:01:21.018796,0:00:01.566760
,,,,,,,,,,,,,,,
50,10,2,0.6,LogisticRegression(max_iter=10000),0.523,0.189,-0.255,2.232,0.423,7.887,2.479,141,0.167,0:00:23.131375,0:00:01.566760
,,,,,,,,,,,,,,,
50,15,1,1,MultinomialNB(),-1.417,-1.278,0,3.796,0,22.141,0,1831,1,0:00:00.109703,0:02:09.392979
,,,,,,,,,,,,,,,
50,15,1,1,LinearSVC(max_iter=10000),0.866,0.316,0,1.997,0,6.648,0,1831,1,0:17:43.507275,0:02:09.392979
,,,,,,,,,,,,,,,
50,15,1,1,LogisticRegression(max_iter=10000),0.879,0.43,0,1.841,0,5.536,0,1831,1,0:07:03.883145,0:02:09.392979
,,,,,,,,,,,,,,,
50,15,1,0.975,MultinomialNB(),-1.569,-1.406,-1.836,3.903,2.062,23.382,17.846,1613,0.881,0:00:00.097997,0:01:41.794578
,,,,,,,,,,,,,,,
50,15,1,0.975,LinearSVC(max_iter=10000),0.834,0.339,-0.091,1.973,0.131,6.421,0.885,1613,0.881,0:18:23.617574,0:01:41.794578
,,,,,,,,,,,,,,,
50,15,1,0.975,LogisticRegression(max_iter=10000),0.86,0.412,-0.018,1.855,0.013,5.711,0.175,1613,0.881,0:05:25.600935,0:01:41.794578
,,,,,,,,,,,,,,,
50,15,1,0.95,MultinomialNB(),-1.726,-1.506,-1.937,3.976,2.135,24.359,18.823,1498,0.818,0:00:00.091990,0:01:27.927643
,,,,,,,,,,,,,,,
50,15,1,0.95,LinearSVC(max_iter=10000),0.817,0.31,-0.12,1.997,0.156,6.703,1.167,1498,0.818,0:17:54.642312,0:01:27.927643
,,,,,,,,,,,,,,,
50,15,1,0.95,LogisticRegression(max_iter=10000),0.839,0.43,0,1.838,-0.003,5.537,0.001,1498,0.818,0:05:09.932371,0:01:27.927643
,,,,,,,,,,,,,,,
50,15,1,0.925,MultinomialNB(),-1.912,-1.606,-2.037,4.042,2.2,25.333,19.797,1410,0.77,0:00:00.084584,0:01:16.364981
,,,,,,,,,,,,,,,
50,15,1,0.925,LinearSVC(max_iter=10000),0.801,0.253,-0.178,2.094,0.253,7.263,1.727,1410,0.77,0:17:53.586172,0:01:16.364981
,,,,,,,,,,,,,,,
50,15,1,0.925,LogisticRegression(max_iter=10000),0.82,0.379,-0.051,1.922,0.081,6.033,0.498,1410,0.77,0:04:52.689735,0:01:16.364981
,,,,,,,,,,,,,,,
50,15,1,0.9,MultinomialNB(),-2.056,-1.687,-2.117,4.09,2.248,26.115,20.579,1332,0.727,0:00:00.079041,0:01:09.148377
,,,,,,,,,,,,,,,
50,15,1,0.9,LinearSVC(max_iter=10000),0.785,0.276,-0.154,2.066,0.225,7.035,1.499,1332,0.727,0:17:19.610566,0:01:09.148377
,,,,,,,,,,,,,,,
50,15,1,0.9,LogisticRegression(max_iter=10000),0.808,0.384,-0.047,1.907,0.066,5.989,0.453,1332,0.727,0:04:17.377724,0:01:09.148377
,,,,,,,,,,,,,,,
50,15,1,0.85,MultinomialNB(),-2.409,-1.925,-2.356,4.255,2.413,28.433,22.897,1161,0.634,0:00:00.069921,0:00:54.399161
,,,,,,,,,,,,,,,
50,15,1,0.85,LinearSVC(max_iter=10000),0.753,0.249,-0.181,2.116,0.275,7.295,1.759,1161,0.634,0:15:48.318087,0:00:54.399161
,,,,,,,,,,,,,,,
50,15,1,0.85,LogisticRegression(max_iter=10000),0.778,0.369,-0.062,1.93,0.088,6.135,0.599,1161,0.634,0:03:23.797231,0:00:54.399161
,,,,,,,,,,,,,,,
50,15,1,0.8,MultinomialNB(),-2.812,-2.221,-2.651,4.453,2.612,31.305,25.769,984,0.537,0:00:00.060904,0:00:40.036520
,,,,,,,,,,,,,,,
50,15,1,0.8,LinearSVC(max_iter=10000),0.712,0.224,-0.206,2.182,0.341,7.541,2.005,984,0.537,0:14:31.264803,0:00:40.036520
,,,,,,,,,,,,,,,
50,15,1,0.8,LogisticRegression(max_iter=10000),0.75,0.353,-0.078,1.989,0.147,6.291,0.756,984,0.537,0:02:47.563651,0:00:40.036520
,,,,,,,,,,,,,,,
50,15,1,0.7,MultinomialNB(),-3.246,-2.272,-2.703,4.389,2.548,31.808,26.272,663,0.362,0:00:00.041344,0:00:18.972990
,,,,,,,,,,,,,,,
50,15,1,0.7,LinearSVC(max_iter=10000),0.61,0.198,-0.232,2.208,0.366,7.791,2.255,663,0.362,0:11:39.776745,0:00:18.972990
,,,,,,,,,,,,,,,
50,15,1,0.7,LogisticRegression(max_iter=10000),0.652,0.305,-0.126,2.049,0.208,6.758,1.222,663,0.362,0:01:29.152343,0:00:18.972990
,,,,,,,,,,,,,,,
50,15,1,0.6,MultinomialNB(),-2.288,-1.713,-2.143,4.149,2.307,26.368,20.833,326,0.178,0:00:00.023528,0:00:05.908396
,,,,,,,,,,,,,,,
50,15,1,0.6,LinearSVC(max_iter=10000),0.502,0.043,-0.388,2.431,0.589,9.303,3.767,326,0.178,0:07:25.786342,0:00:05.908396
,,,,,,,,,,,,,,,
50,15,1,0.6,LogisticRegression(max_iter=10000),0.525,0.184,-0.247,2.234,0.392,7.932,2.397,326,0.178,0:00:33.961859,0:00:05.908396
,,,,,,,,,,,,,,,
50,15,2,1,MultinomialNB(),-1.35,-1.174,0,3.689,0,21.127,0,1522,1,0:00:00.092233,0:01:31.632984
,,,,,,,,,,,,,,,
50,15,2,1,LinearSVC(max_iter=10000),0.858,0.299,0,2.042,0,6.812,0,1522,1,0:16:37.357682,0:01:31.632984
,,,,,,,,,,,,,,,
50,15,2,1,LogisticRegression(max_iter=10000),0.873,0.424,0,1.855,0,5.6,0,1522,1,0:05:51.769724,0:01:31.632984
,,,,,,,,,,,,,,,
